x(m/s),y(m/s),z(m/s),t(s)
0.4261495769,9.763134956,-0.9265161753,0.90567802
0.430937767,9.755951881,-0.9504572153,0.908058801
0.4189672768,9.758345604,-0.9767923355,0.910440208
0.3950262666,9.763134956,-1.015097857,0.912821614
0.3519325256,9.763134956,-1.046221137,0.915202187
0.2968682647,9.767923355,-1.046221137,0.917582812
0.2489862591,9.787075996,-1.010309696,0.919964166
0.2106806934,9.808623314,-0.972004056,0.922345572
0.1771633178,9.813410759,-0.9480631351,0.924726197
0.1556164175,9.818199158,-0.9384866953,0.927106822
0.1484341323,9.813410759,-0.9600335956,0.929488176
0.1412518322,9.822986603,-0.9815804958,0.931869583
0.1388577372,9.842140198,-0.9767923355,0.934250208
0.1412518322,9.846927643,-0.9815804958,0.936630833
0.1484341323,9.863686562,-0.9887627959,0.939012187
0.1651928127,9.870868683,-0.9959450364,0.941393593
0.1891337931,9.873263359,-1.015097857,0.943774166
0.2130747885,9.878050804,-1.041432977,0.946155937
0.2226511836,9.882840157,-1.036644697,0.948537343
0.2274393737,9.882840157,-1.034250736,0.950918749
0.2418039739,9.880446434,-1.053403497,0.953299322
0.2561685741,9.882840157,-1.041432977,0.955679947
0.2537744641,9.86847496,-1.012703776,0.958061302
0.2370157838,9.856505394,-1.010309696,0.960442708
0.2370157838,9.84453392,-1.019886017,0.962823333
0.2609567642,9.834958076,-1.010309696,0.965203958
0.2825036645,9.834958076,-0.9815804958,0.967585312
0.304050535,9.808623314,-0.9648218155,0.969966718
0.3208092153,9.775105476,-0.9887627959,0.972349791
0.3160210252,9.755951881,-1.034250736,0.974730416
0.3064446151,9.732010841,-1.053403497,0.97711177
0.2825036645,9.727223396,-1.051009417,0.979493177
0.2609567642,9.743982315,-1.039038897,0.981873802
0.251380384,9.755951881,-1.022280216,0.984251822
0.2346216738,9.753558159,-1.012703776,0.986633176
0.2106806934,9.74876976,-1.000733256,0.989014582
0.1987102032,9.763134956,-1.000733256,0.991395155
0.1915279031,9.779892921,-1.007915616,0.993776197
0.1747692078,9.801440239,-1.010309696,0.996157603
0.1484341323,9.830168724,-0.9959450364,0.998539009
0.1173108369,9.842140198,-0.983974576,1.000919582
0.09576395154,9.849322319,-0.9959450364,1.003300207
0.09576395154,9.861292839,-1.027068377,1.005681562
0.1268872321,9.854109764,-1.053403497,1.008062968
0.1532223076,9.84453392,-1.062979817,1.010443593
0.1747692078,9.834958076,-1.048615217,1.012824218
0.1891337931,9.830168724,-1.027068377,1.015205572
