"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.294824990E-1,1.604046077E-1,9.842140198E0,-9.983391762E-1
6.318631240E-1,1.197049394E-1,9.844533920E0,-1.003127337E0
6.342444780E-1,1.005521491E-1,9.858899117E0,-9.983391762E-1
6.366258840E-1,6.224656478E-2,9.861292839E0,-1.034250736E0
6.390064570E-1,2.872918546E-2,9.882840157E0,-1.000733256E0
6.413870820E-1,1.915278845E-2,9.904387474E0,-9.528512955E-1
6.437684880E-1,2.394098556E-3,9.882840157E0,-9.576395154E-1
6.461498950E-1,4.788197111E-3,9.882840157E0,-9.528512955E-1
6.485315620E-1,3.351738304E-2,9.885233879E0,-9.552453756E-1
6.509121870E-1,5.027607456E-2,9.854109764E0,-9.815804958E-1
6.532935410E-1,8.618755639E-2,9.842140198E0,-9.815804958E-1
6.556749470E-1,1.316754371E-1,9.834958076E0,-9.528512955E-1
6.580555720E-1,1.771633178E-1,9.830168724E0,-9.049693346E-1
6.604361970E-1,2.274393737E-1,9.815805435E0,-9.049693346E-1
6.628175510E-1,2.777154744E-1,9.794258118E0,-9.217280149E-1
6.651977070E-1,3.208092153E-1,9.777499199E0,-9.073634148E-1
6.675783320E-1,3.543266356E-1,9.758345604E0,-9.336984754E-1
6.699589570E-1,3.854499161E-1,9.763134956E0,-9.480631351E-1
6.723403120E-1,4.022085965E-1,9.772710800E0,-9.552453756E-1
6.747220830E-1,4.189672768E-1,9.794258118E0,-9.600335956E-1
6.771027080E-1,4.165731966E-1,9.806227684E0,-9.528512955E-1
6.794833330E-1,3.950262666E-1,9.811017036E0,-9.504572153E-1
6.818646870E-1,3.662970960E-1,9.830168724E0,-9.480631351E-1
6.842460930E-1,3.375679255E-1,9.851716042E0,-9.720040560E-1
6.866266660E-1,2.944741547E-1,9.856505394E0,-9.863687158E-1
6.890072910E-1,2.370157838E-1,9.868474960E0,-9.456689954E-1
6.913886970E-1,1.867396981E-1,9.882840157E0,-9.121516347E-1
6.937701040E-1,1.508282125E-1,9.880446434E0,-9.217280149E-1
6.961506770E-1,1.029462516E-1,9.894809723E0,-8.929988146E-1
6.985313020E-1,5.027607456E-2,9.901991844E0,-8.235700130E-1
7.009126560E-1,1.436459273E-2,9.885233879E0,-7.972348928E-1
7.032941660E-1,-3.830557689E-2,9.846927643E0,-8.427227736E-1
7.056747910E-1,-1.029462516E-1,9.834958076E0,-8.044171929E-1
7.080554160E-1,-1.388577372E-1,9.822986603E0,-7.469587922E-1
7.104367700E-1,-1.532223076E-1,9.801440239E0,-7.948408127E-1
7.128181760E-1,-1.484341323E-1,9.830168724E0,-8.475109339E-1
7.152002070E-1,-1.149167418E-1,9.854109764E0,-8.618755341E-1
7.175808320E-1,-5.506426841E-2,9.863686562E0,-8.355404139E-1
7.199621870E-1,-2.394098556E-3,9.894809723E0,-8.020230532E-1
7.223435930E-1,4.548787326E-2,9.890022278E0,-8.953929543E-1
7.247241660E-1,8.379345387E-2,9.842140198E0,-9.935510159E-1
7.271047910E-1,1.149167418E-1,9.813410759E0,-9.193339348E-1
7.294861970E-1,1.436459273E-1,9.808623314E0,-8.475109339E-1
7.318676030E-1,1.723751128E-1,9.777499199E0,-8.714519143E-1
7.342481760E-1,2.250452787E-1,9.765528679E0,-8.977869749E-1
7.366288010E-1,2.585626841E-1,9.765528679E0,-9.025752544E-1
7.390101550E-1,2.513803840E-1,9.763134956E0,-8.834224343E-1
7.413915620E-1,2.418039739E-1,9.767923355E0,-9.001811147E-1
7.437704680E-1,2.130747885E-1,9.784682274E0,-9.672158957E-1
7.461510930E-1,1.771633178E-1,9.794258118E0,-1.019886017E0
7.485324470E-1,1.508282125E-1,9.772710800E0,-1.046221137E0
7.509138530E-1,8.858165890E-2,9.782286644E0,-1.022280216E0
7.532944780E-1,1.436459273E-2,9.830168724E0,-8.810282946E-1
7.556751030E-1,-3.830557689E-2,9.854109764E0,-6.655594110E-1
7.580564570E-1,-8.618755639E-2,9.858899117E0,-6.009188294E-1
7.604378630E-1,-1.316754371E-1,9.827775002E0,-8.115994930E-1
7.628184360E-1,-1.436459273E-1,9.789469719E0,-1.034250736E0
7.651990610E-1,-1.292813420E-1,9.820592880E0,-1.062979817E0
7.675804680E-1,-1.005521491E-1,9.894809723E0,-1.062979817E0
7.699618740E-1,-5.027607456E-2,9.952267647E0,-1.106073618E0
7.723424470E-1,2.872918546E-2,9.957056999E0,-1.146773219E0
7.747230720E-1,1.101285368E-1,9.964239120E0,-1.094103098E0
7.771044260E-1,1.843456030E-1,9.961845398E0,-9.480631351E-1
7.794877080E-1,2.609567642E-1,9.923539162E0,-8.618755341E-1
7.818683330E-1,3.255974352E-1,9.851716042E0,-9.336984754E-1
7.842485930E-1,3.591148257E-1,9.791864395E0,-1.012703776E0
7.866299470E-1,3.854499161E-1,9.751164436E0,-1.003127337E0
7.890113540E-1,4.046026766E-1,9.720041275E0,-1.027068377E0
7.913919790E-1,3.998144865E-1,9.722434998E0,-1.165926099E0
7.937726040E-1,3.758735061E-1,9.732010841E0,-1.304783821E0
7.961544790E-1,3.591148257E-1,9.760741234E0,-1.297601461E0
7.985358850E-1,3.447502255E-1,9.815805435E0,-1.146773219E0
8.009165100E-1,3.232033551E-1,9.844533920E0,-1.070162177E0
8.032971350E-1,2.944741547E-1,9.825381279E0,-1.113255858E0
8.056784890E-1,2.657449543E-1,9.779892921E0,-1.089314818E0
8.080598950E-1,2.250452787E-1,9.741587639E0,-9.720040560E-1
8.104404680E-1,1.723751128E-1,9.715252876E0,-8.810282946E-1
8.128210930E-1,1.149167418E-1,9.720041275E0,-8.379345536E-1
8.152025000E-1,5.506426841E-2,9.724828720E0,-8.307522535E-1
8.175839060E-1,2.394098556E-3,9.751164436E0,-8.522991538E-1
8.199644790E-1,-4.788197577E-2,9.813410759E0,-8.906047344E-1
8.223451040E-1,-7.661115378E-2,9.863686562E0,-9.743981957E-1
8.247240610E-1,-8.379345387E-2,9.887627602E0,-1.120438218E0
8.271054670E-1,-6.942886859E-2,9.935509682E0,-1.225778461E0
8.294860920E-1,-2.872918546E-2,9.964239120E0,-1.240143180E0
8.318667170E-1,3.112328239E-2,9.945085526E0,-1.211413980E0
8.342480710E-1,9.576395154E-2,9.916357040E0,-1.161137819E0
8.366294780E-1,1.412518322E-1,9.890022278E0,-1.103679538E0
8.390101030E-1,2.154688835E-1,9.851716042E0,-1.007915616E0
8.413907280E-1,2.825036645E-1,9.808623314E0,-9.049693346E-1
8.437726550E-1,3.279915452E-1,9.787075996E0,-8.714519143E-1
8.461540610E-1,3.591148257E-1,9.770317078E0,-9.265161753E-1
8.485346860E-1,3.615089059E-1,9.741587639E0,-1.034250736E0
8.509153110E-1,3.662970960E-1,9.736800194E0,-1.130014658E0
8.532966650E-1,3.567207158E-1,9.739193916E0,-1.192261100E0
8.556780710E-1,3.375679255E-1,9.741587639E0,-1.220990419E0
8.580586440E-1,2.968682647E-1,9.755951881E0,-1.173108339E0
8.604392690E-1,2.681390643E-1,9.784682274E0,-1.067767978E0
8.628206760E-1,2.274393737E-1,9.803833961E0,-9.528512955E-1
8.652016670E-1,1.723751128E-1,9.796651840E0,-8.499050736E-1
8.675822920E-1,1.316754371E-1,9.767923355E0,-8.115994930E-1
8.699629170E-1,9.576395154E-2,9.751164436E0,-8.259640336E-1
8.723442710E-1,6.224656478E-2,9.763134956E0,-8.451168537E-1
8.747257290E-1,3.351738304E-2,9.777499199E0,-8.618755341E-1
8.771063540E-1,7.182296365E-3,9.811017036E0,-9.073634148E-1
8.794869790E-1,1.197049394E-2,9.861292839E0,-9.815804958E-1
8.818683330E-1,2.394098788E-2,9.887627602E0,-1.058191657E0
8.842497400E-1,3.112328239E-2,9.892416000E0,-1.108467698E0
8.866303650E-1,3.591148183E-2,9.909174919E0,-1.110861897E0
8.890109900E-1,6.224656478E-2,9.921145439E0,-1.089314818E0
8.913923440E-1,1.053403467E-1,9.897204399E0,-1.041432977E0
8.937737500E-1,1.532223076E-1,9.873263359E0,-9.863687158E-1
8.961543750E-1,2.106806934E-1,9.849322319E0,-9.360926151E-1
8.985350000E-1,2.753213346E-1,9.811017036E0,-9.145457745E-1
9.009163540E-1,3.447502255E-1,9.777499199E0,-9.097574949E-1
9.032974470E-1,3.950262666E-1,9.765528679E0,-9.025752544E-1
9.056780200E-1,4.261495769E-1,9.763134956E0,-9.265161753E-1
9.080588010E-1,4.309377670E-1,9.755951881E0,-9.504572153E-1
9.104402080E-1,4.189672768E-1,9.758345604E0,-9.767923355E-1
9.128216140E-1,3.950262666E-1,9.763134956E0,-1.015097857E0
9.152021870E-1,3.519325256E-1,9.763134956E0,-1.046221137E0
9.175828120E-1,2.968682647E-1,9.767923355E0,-1.046221137E0
9.199641660E-1,2.489862591E-1,9.787075996E0,-1.010309696E0
9.223455720E-1,2.106806934E-1,9.808623314E0,-9.720040560E-1
9.247261970E-1,1.771633178E-1,9.813410759E0,-9.480631351E-1
9.271068220E-1,1.556164175E-1,9.818199158E0,-9.384866953E-1
9.294881760E-1,1.484341323E-1,9.813410759E0,-9.600335956E-1
9.318695830E-1,1.412518322E-1,9.822986603E0,-9.815804958E-1
9.342502080E-1,1.388577372E-1,9.842140198E0,-9.767923355E-1
